Ticker
AAPL
ABBV
ABT
ACN
AIG
ALL
AMGN
AMT
AMZN
AXP
BA
BAC
BIIB
BK
BKNG
BLK
BMY
BRK-B
C
CAT
CHTR
CL
CMCSA
COF
COP
COST
CRM
CSCO
CVS
CVX
DD
DHR
DIS
DOW
DUK
EMR
EXC
F
FDX
GD
GE
GILD
GM
GOOGL
GS
HD
HON
IBM
INTC
JNJ
JPM
KHC
KMI
KO
LIN
LLY
LMT
LOW
MA
MCD
MDLZ
MDT
MET
META
MMM
MO
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PM
PYPL
QCOM
RTX
SBUX
SCHW
SO
SPG
T
TGT
TJX
TMO
TMUS
TSLA
TXN
UNH
UNP
UPS
USB
V
VZ
WBA
WFC
WELL
WMT
XOM
